Term,Definition
Phylogenetic species concept,"The concept of a species as an irreducible group whose members are descended from a common ancestor and who all possess a combination of certain defining, or derived, traits. Hence, this concept defines a species as a group having a shared and unique evolutionary history."
Monophyly,"In cladistics for a group of organisms, monophyly is the condition of being a clade—that is, a group of taxa composed only of a common ancestor and all of its lineal descendants."
k-mer,"In bioinformatics, k-mers are subsequences of length k contained within a biological sequence. "
Open Reading Frame (ORF) ,"In molecular genetics, an open reading frame (ORF) is the part of a reading frame that has the ability to be translated. An ORF is a continuous stretch of codons that begins with a start codon (usually AUG) and ends at a stop codon (usually UAA, UAG or UGA)."
Heterozygosity,The condition of having two different alleles at a locus.
Heterozygote,A diploid organism that carries two different versions of a specific gene.
Paralogue,"Genes or proteines with similar sequences, but different (although possibly related) functions, arising from a common ancestral gene."
Monoisolate,"a single animal, cultured cell-line, inbred population,.or possibly a heterogeneous population when a single genome assembly is generated from a pooled sample because multiple individuals are needed to collect enough material and an inbred line is not available; however, this situation is not preferred."
Read trimming,"Sequencing data is often provided as raw reads which are processed prior to analysis 1 of the most used preprocessing procedures is read trimming, which aims at removing low quality portions while preserving the longest high quality part of a NGS read."
Plesiomorphic,"A primitive or ancestral character state is called plesiomorphy (plesiomorphic character), and a shared plesiomorphy is called a symplesiomorphy. For example, hair is a unique mammalian character that evolved with the evolution of mammals."
Promoter,Promoter sequences are DNA sequences that define where transcription of a gene by RNA polymerase begins. Promoter sequences are typically located directly upstream or at the 5' end of the transcription initiation site.
High molecular weight DNA,High molecular weight DNA corresponds to DNA fragments between 100-300kb in length
